Period ,lnncp
11-04-2023,-5112.21
12-04-2023,-13758.91
13-04-2023,-1122.35
14-04-2023,-8569.06
15-04-2023,-781.68
16-04-2023,-1021.88
17-04-2023,-1528.81
18-04-2023,-189.69
19-04-2023,-299.93
20-04-2023,-3465.54
21-04-2023,-5109.97
22-04-2023,-5750.89
23-04-2023,-9146.19
24-04-2023,-8974.93
25-04-2023,-1402.5
26-04-2023,-1930.96
27-04-2023,-673.35
28-04-2023,-2686.52
29-04-2023,-1772.06
30-04-2023,-1351.69
01-05-2023,-9823.64
02-05-2023,-9690.15
03-05-2023,-399
04-05-2023,-5764.72
05-05-2023,-900.61
06-05-2023,-4875.86
07-05-2023,-7914.88
08-05-2023,-1019.39
09-05-2023,-4323.66
10-05-2023,-14214.48
11-05-2023,-241.79
12-05-2023,-868.61
13-05-2023,-4673.28
14-05-2023,-1509.27
15-05-2023,-781.7
16-05-2023,-265.51
17-05-2023,-5183.85
18-05-2023,-14904.9
19-05-2023,-918.88
20-05-2023,-4477.78
21-05-2023,-1324.03
22-05-2023,-5630.61
23-05-2023,-930.3
24-05-2023,-5499.91
25-05-2023,-4175.02
26-05-2023,-6651.62
27-05-2023,-13988.12
28-05-2023,-3014.75
29-05-2023,-1951.42
30-05-2023,-3846.28
31-05-2023,-6374.82
01-06-2023,-5866.01
02-06-2023,-605.95
03-06-2023,-6689.87
04-06-2023,-634.17
05-06-2023,-14676.05
06-06-2023,-1362.39
07-06-2023,-10528.34
08-06-2023,-552.52
09-06-2023,-4715.84
10-06-2023,-7176.86
11-06-2023,-1523.72
12-06-2023,-9869.93
13-06-2023,-10556.81
14-06-2023,-791.65
15-06-2023,-2929.91
16-06-2023,-618.05
17-06-2023,-1375.8
18-06-2023,-1143.52
19-06-2023,-201.04
20-06-2023,-2115.8
21-06-2023,-7643.66
22-06-2023,-8901.93
23-06-2023,-9418.86
24-06-2023,-7954.92
25-06-2023,-9418.08
26-06-2023,-6144.68
27-06-2023,-420.65
28-06-2023,-447.82
29-06-2023,-7981.45
30-06-2023,-1829.9
01-07-2023,-985.06
02-07-2023,-480.16
03-07-2023,-12145.27
