UBR L6 Name,hour,Debit Amount,Credit Amount
Corporate Bank,0,107895.21109890108,129335.72681318682
Corporate Bank,1,116879.34879120879,139013.49263736265
Corporate Bank,2,111063.4067032967,171593.30813186814
Corporate Bank,3,135286.98175824175,137297.6178021978
Corporate Bank,4,148142.5487912088,144175.58505494506
Corporate Bank,5,149163.9158241758,331210.12725274725
Corporate Bank,6,334560.31472527474,1001942.9473626373
Corporate Bank,7,743249.6751648352,2151218.519340659
Corporate Bank,8,1785569.9019780222,3836920.2575824177
Corporate Bank,9,3334046.4156043953,4422509.510659341
Corporate Bank,10,4095923.0303296703,4044155.4775824174
Corporate Bank,11,3840135.4716483518,2843651.1821978022
Corporate Bank,12,2980173.196813187,3330167.28989011
Corporate Bank,13,2431421.5059340657,5169846.664945055
Corporate Bank,14,3447674.151428571,4097541.438901099
Corporate Bank,15,4122838.6150549445,2993491.7594505497
Corporate Bank,16,3723022.7290109885,2142396.3284615385
Corporate Bank,17,1850954.8074725273,928653.4795604396
Corporate Bank,18,965672.7806593406,432176.1541758242
Corporate Bank,19,418515.4272527473,209019.40197802195
Corporate Bank,20,185267.3410989011,157061.1946153846
Corporate Bank,21,137671.59241758243,141370.319010989
Corporate Bank,22,118266.67813186815,119684.9720879121
Corporate Bank,23,123221.79384615384,116368.58109890111
Corporate Cash Management,0,68235.1710989011,68860.72593406594
Corporate Cash Management,1,79663.0587912088,67214.76978021978
Corporate Cash Management,2,79102.49395604395,77721.2178021978
Corporate Cash Management,3,67476.9078021978,72175.33087912088
Corporate Cash Management,4,82338.0445054945,75239.67846153847
Corporate Cash Management,5,68774.21021978022,74103.82483516484
Corporate Cash Management,6,67569.10120879121,69781.13956043957
Corporate Cash Management,7,65522.470439560435,71657.6623076923
Corporate Cash Management,8,70290.32351648352,74463.54912087912
Corporate Cash Management,9,67565.82648351649,70216.59934065935
Corporate Cash Management,10,70097.63615384615,71172.91725274725
Corporate Cash Management,11,66719.68868131869,69215.01626373627
Corporate Cash Management,12,66548.79307692307,73081.12384615385
Corporate Cash Management,13,70176.37087912088,68622.15692307692
Corporate Cash Management,14,74258.26351648352,71579.0887912088
Corporate Cash Management,15,166779.35802197803,169050.34373626372
Corporate Cash Management,16,850082.2093406593,803634.3986813187
Corporate Cash Management,17,1997375.9105494504,2365241.75
Corporate Cash Management,18,2110331.344615385,2172962.681098901
Corporate Cash Management,19,984785.0579120879,838781.5456043957
Corporate Cash Management,20,166672.30835164836,182665.9943956044
Corporate Cash Management,21,76620.08241758242,78369.72626373626
Corporate Cash Management,22,73456.0132967033,69498.40252747253
Corporate Cash Management,23,65911.38549450549,74175.16285714286
FIC Trading,0,239476.57362637363,213725.58758241756
FIC Trading,1,190098.0297802198,192192.52098901098
FIC Trading,2,284707.7679120879,254015.30505494503
FIC Trading,3,224511.89164835165,197198.78362637362
FIC Trading,4,205952.1345054945,212028.780989011
FIC Trading,5,319619.16703296703,273198.06439560436
FIC Trading,6,551781.4964835165,736461.6889010989
FIC Trading,7,2339044.619120879,2347934.3264835165
FIC Trading,8,6816586.199120879,5686315.842527472
FIC Trading,9,6930079.368461538,7510780.56076923
FIC Trading,10,5259655.459230769,4932118.281098901
FIC Trading,11,2183390.876593407,2874177.234285714
FIC Trading,12,1631268.0863736265,1607476.739010989
FIC Trading,13,4055885.2397802197,2913782.73989011
FIC Trading,14,5001740.968021979,5885923.240329671
FIC Trading,15,6858297.253076923,6833454.496263736
FIC Trading,16,6409544.099230769,5961773.541428572
FIC Trading,17,4430286.96989011,3518979.699120879
FIC Trading,18,3727977.9576923074,3223865.4087912086
FIC Trading,19,4802773.345164835,5021371.6716483515
FIC Trading,20,5989992.145164835,5676369.796373626
FIC Trading,21,4062594.8613186814,4851206.914285714
FIC Trading,22,2191608.5856043957,2319456.4014285714
FIC Trading,23,945469.3561538461,969480.6591208791
