timestamp,sarimax_forecast,seasonal_naive_forecast,ensemble_forecast,UBR L6 Name,Side
2026-07-01 00:00:00,1171171.7104105672,148741.59,659956.6502052837,Corporate Bank,Debit
2026-07-01 01:00:00,1209665.1851515488,123044.95,666355.0675757744,Corporate Bank,Debit
2026-07-01 02:00:00,1238532.7929996352,178629.64,708581.2164998176,Corporate Bank,Debit
2026-07-01 03:00:00,1296833.129926115,173458.63,735145.8799630576,Corporate Bank,Debit
2026-07-01 04:00:00,1344183.428235944,155100.73,749642.0791179719,Corporate Bank,Debit
2026-07-01 05:00:00,1396662.8313401619,148235.68,772449.2556700809,Corporate Bank,Debit
2026-07-01 06:00:00,1705280.9156723954,384395.59,1044838.2528361977,Corporate Bank,Debit
2026-07-01 07:00:00,2052068.3919669522,991349.07,1521708.7309834762,Corporate Bank,Debit
2026-07-01 08:00:00,2994158.541706036,1636434.53,2315296.535853018,Corporate Bank,Debit
2026-07-01 09:00:00,4347505.72153363,2751785.41,3549645.565766815,Corporate Bank,Debit
2026-07-01 10:00:00,5282874.857083506,6207841.93,5745358.393541753,Corporate Bank,Debit
2026-07-01 11:00:00,4652576.551371094,2117866.16,3385221.355685547,Corporate Bank,Debit
2026-07-01 12:00:00,4094347.0892410288,3721309.81,3907828.449620514,Corporate Bank,Debit
2026-07-01 13:00:00,3821444.678976965,2863050.03,3342247.3544884827,Corporate Bank,Debit
2026-07-01 14:00:00,4546002.071811717,5940208.74,5243105.405905859,Corporate Bank,Debit
2026-07-01 15:00:00,4870126.281171307,3827209.54,4348667.910585653,Corporate Bank,Debit
2026-07-01 16:00:00,4869633.1197691625,4627264.73,4748448.924884582,Corporate Bank,Debit
2026-07-01 17:00:00,3149102.0481579183,2168603.39,2658852.719078959,Corporate Bank,Debit
2026-07-01 18:00:00,2283802.9548963676,1251760.55,1767781.752448184,Corporate Bank,Debit
2026-07-01 19:00:00,1822785.6038570807,635914.3,1229349.9519285404,Corporate Bank,Debit
2026-07-01 20:00:00,1528552.4064267585,208656.3,868604.3532133793,Corporate Bank,Debit
2026-07-01 21:00:00,1452435.4991295526,224425.15,838430.3245647763,Corporate Bank,Debit
2026-07-01 22:00:00,1414393.072934248,112973.25,763683.161467124,Corporate Bank,Debit
