UBR L6 Name,segment,Debit Amount_mean,Debit Amount_sum,Debit Amount_count,Credit Amount_mean,Credit Amount_sum,Credit Amount_count
Corporate Bank,Morning,2355580.8015750917,1286147117.66,546,3050066.315787546,1665336208.42,546
Corporate Bank,Afternoon,3341026.0396483517,1520166848.04,455,3546688.69632967,1613743356.83,455
Corporate Bank,Evening,855102.5891208791,311257342.44,364,431727.5575824176,157148830.96,364
Corporate Bank,Night,127510.16415140415,104430824.44,819,158894.41443223442,130134525.42,819
FIC Trading,Morning,4013423.003168498,2191328959.73,546,4014631.322344322,2191988702.0,546
FIC Trading,Afternoon,4791347.129296703,2180062943.83,455,4640482.151384615,2111419378.88,455
FIC Trading,Evening,4737757.604478022,1724543768.03,364,4360146.643983517,1587093378.41,364
FIC Trading,Night,962670.9297313798,788427491.45,819,1053611.4463858365,862907774.59,819
Corporate Cash Management,Morning,67960.84108058608,37106619.23,546,71084.48064102564,38812126.43,546
Corporate Cash Management,Afternoon,245568.99896703297,111733894.53,455,237193.4223956044,107923007.19,455
Corporate Cash Management,Evening,1314791.155357143,478583980.55,364,1389912.9927747252,505928329.37,364
Corporate Cash Management,Night,73508.5963980464,60203540.45,819,73039.87103785104,59819654.38,819
