Effective Timestamp,UBR L6 Name,Credit Amount,Debit Amount,Net Amount
2026-04-01 00:00:00,Corporate Bank,172784.84,164358.58,8426.26000000001
2026-04-01 01:00:00,Corporate Bank,165948.57,109798.25,56150.32000000001
2026-04-01 02:00:00,Corporate Bank,204869.48,187897.17,16972.309999999998
2026-04-01 03:00:00,Corporate Bank,222906.63,199363.08,23543.550000000017
2026-04-01 04:00:00,Corporate Bank,247176.31,86001.11,161175.2
2026-04-01 05:00:00,Corporate Bank,588605.11,127121.78,461483.32999999996
2026-04-01 06:00:00,Corporate Bank,1263757.21,384154.71,879602.5
2026-04-01 07:00:00,Corporate Bank,2670141.59,920699.38,1749442.21
2026-04-01 08:00:00,Corporate Bank,6455882.95,2429102.28,4026780.6700000004
2026-04-01 09:00:00,Corporate Bank,5308057.05,3313087.28,1994969.77
2026-04-01 10:00:00,Corporate Bank,4878013.98,6821549.86,-1943535.88
2026-04-01 11:00:00,Corporate Bank,6207795.78,5837561.31,370234.47000000067
2026-04-01 12:00:00,Corporate Bank,5818876.33,3568915.46,2249960.87
2026-04-01 13:00:00,Corporate Bank,4384450.38,4634298.23,-249847.85000000056
2026-04-01 14:00:00,Corporate Bank,4255172.71,4615974.92,-360802.20999999996
2026-04-01 15:00:00,Corporate Bank,6470087.94,3429411.54,3040676.4000000004
2026-04-01 16:00:00,Corporate Bank,3408379.68,4240774.4,-832394.7200000002
2026-04-01 17:00:00,Corporate Bank,1454361.51,1832154.75,-377793.24
2026-04-01 18:00:00,Corporate Bank,501372.15,1574537.61,-1073165.46
2026-04-01 19:00:00,Corporate Bank,281451.81,502218.4,-220766.59000000003
2026-04-01 20:00:00,Corporate Bank,172962.41,226783.64,-53821.23000000001
2026-04-01 21:00:00,Corporate Bank,129805.01,135679.69,-5874.680000000008
2026-04-01 22:00:00,Corporate Bank,162407.48,219647.25,-57239.76999999999
2026-04-01 23:00:00,Corporate Bank,168948.68,143413.31,25535.369999999995
2026-04-02 00:00:00,Corporate Bank,139385.29,131912.27,7473.020000000019
2026-04-02 01:00:00,Corporate Bank,204614.54,134962.87,69651.67000000001
2026-04-02 02:00:00,Corporate Bank,230172.42,175994.42,54178.0
2026-04-02 03:00:00,Corporate Bank,214832.96,167769.58,47063.380000000005
2026-04-02 04:00:00,Corporate Bank,179854.08,174773.45,5080.629999999976
2026-04-02 05:00:00,Corporate Bank,482346.59,213801.0,268545.59
2026-04-02 06:00:00,Corporate Bank,1077747.15,702880.94,374866.20999999996
2026-04-02 07:00:00,Corporate Bank,1752620.8,896126.73,856494.0700000001
2026-04-02 08:00:00,Corporate Bank,5446967.3,2093608.82,3353358.4799999995
2026-04-02 09:00:00,Corporate Bank,5699247.79,3352350.78,2346897.0100000002
2026-04-02 10:00:00,Corporate Bank,10515271.3,6303223.27,4212048.030000001
2026-04-02 11:00:00,Corporate Bank,5734577.46,6486137.67,-751560.21
2026-04-02 12:00:00,Corporate Bank,4427676.62,3381327.25,1046349.3700000001
2026-04-02 13:00:00,Corporate Bank,4736356.5,2568354.64,2168001.86
2026-04-02 14:00:00,Corporate Bank,5120834.94,3132796.1,1988038.8400000003
2026-04-02 15:00:00,Corporate Bank,3086787.26,5394361.59,-2307574.33
