UBR L6 Name,dow_name,Debit Amount,Credit Amount
Corporate Bank,Mon,2159864.13025641,2225475.2851923076
Corporate Bank,Tue,1927407.015,2235129.6300320514
Corporate Bank,Wed,2094085.4309294873,2311758.96400641
Corporate Bank,Thu,1876894.458621795,2103837.184198718
Corporate Bank,Fri,2029242.1576923078,2311322.797852564
Corporate Bank,Sat,125826.94477564104,124329.40064102564
Corporate Bank,Sun,113609.7748397436,118797.12791666665
FIC Trading,Mon,4408754.88951923,4644409.224711538
FIC Trading,Tue,4430774.340256411,4066157.327307692
FIC Trading,Wed,4224006.271730769,3830331.0426602564
FIC Trading,Thu,3762124.6155128204,3891072.292596154
FIC Trading,Fri,3985066.544455128,3951822.1835897435
FIC Trading,Sat,594659.6430448717,619237.7755448718
FIC Trading,Sun,659880.2436858974,642512.5698717949
Corporate Cash Management,Mon,463648.43150641024,455725.25048076926
Corporate Cash Management,Tue,416986.24044871796,484364.8953846154
Corporate Cash Management,Wed,471509.2783333333,456895.2302243589
Corporate Cash Management,Thu,411806.53557692305,440836.70131410257
Corporate Cash Management,Fri,423265.5464102564,428777.51682692306
Corporate Cash Management,Sat,9086.572596153846,7999.508108974358
Corporate Cash Management,Sun,7633.403974358975,9000.632820512821
