Datetime,transaction_count,dr_amount,cr_amount,total_amount,hour,dow,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,dr_cr_imbalance,tc_lag1,tc_diff1,tc_roll_mean_24,tc_roll_std_24,tc_wow_diff,amt_roll_std_24,seasonal_baseline,residual,residual_roll_std,seasonal_z,z_flag,ewma,ewma_limit,ewma_flag,cusum_up,cusum_dn,cusum_threshold,cusum_warn_level,sb_flag,sb_pre_alarm,if_score,if_threshold,if_flag,lof_score,lof_threshold,lof_flag,votes,is_anomaly,combined_score,building_stress,status,cum_confirmed_anomalies,cum_building_stress
2025-01-02 00:00:00,0,0.0,0.0,0.0,0,3,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0,,,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 01:00:00,0,0.0,0.0,0.0,1,3,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 02:00:00,0,0.0,0.0,0.0,2,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 03:00:00,0,0.0,0.0,0.0,3,3,0,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 04:00:00,0,0.0,0.0,0.0,4,3,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 05:00:00,0,0.0,0.0,0.0,5,3,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.0,0.0,0.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 06:00:00,17,8185.0,8013.0,16198.0,6,3,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.01061793937897401,0.0,17.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 07:00:00,23,12010.0,14974.0,26984.0,7,3,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.10983879933296276,17.0,6.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 08:00:00,53,20659.0,24259.0,44918.0,8,3,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-0.08014425966740132,23.0,30.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
2025-01-02 09:00:00,91,28087.0,42797.0,70884.0,9,3,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-0.20751922127389433,53.0,38.0,,,,,,,,,False,0.0,,False,0.0,0.0,6.0,3.5999999999999996,False,False,,,False,,,False,0,False,0.19224016853932585,False,Normal,0,0
