timestamp,y,hour,day_of_week
2025-01-02 00:00:00,0,0,3
2025-01-02 01:00:00,0,1,3
2025-01-02 02:00:00,0,2,3
2025-01-02 03:00:00,0,3,3
2025-01-02 04:00:00,0,4,3
2025-01-02 05:00:00,0,5,3
2025-01-02 06:00:00,17,6,3
2025-01-02 07:00:00,23,7,3
2025-01-02 08:00:00,53,8,3
2025-01-02 09:00:00,91,9,3
2025-01-02 10:00:00,107,10,3
2025-01-02 11:00:00,94,11,3
2025-01-02 12:00:00,55,12,3
2025-01-02 13:00:00,49,13,3
2025-01-02 14:00:00,72,14,3
2025-01-02 15:00:00,130,15,3
2025-01-02 16:00:00,174,16,3
2025-01-02 17:00:00,232,17,3
2025-01-02 18:00:00,32,18,3
2025-01-02 19:00:00,0,19,3
2025-01-02 20:00:00,0,20,3
2025-01-02 21:00:00,0,21,3
2025-01-02 22:00:00,0,22,3
2025-01-02 23:00:00,0,23,3
2025-01-03 00:00:00,0,0,4
2025-01-03 01:00:00,0,1,4
2025-01-03 02:00:00,0,2,4
2025-01-03 03:00:00,0,3,4
2025-01-03 04:00:00,0,4,4
2025-01-03 05:00:00,0,5,4
2025-01-03 06:00:00,17,6,4
2025-01-03 07:00:00,31,7,4
2025-01-03 08:00:00,57,8,4
2025-01-03 09:00:00,89,9,4
2025-01-03 10:00:00,117,10,4
2025-01-03 11:00:00,117,11,4
2025-01-03 12:00:00,63,12,4
2025-01-03 13:00:00,65,13,4
2025-01-03 14:00:00,88,14,4
2025-01-03 15:00:00,162,15,4
2025-01-03 16:00:00,240,16,4
2025-01-03 17:00:00,265,17,4
2025-01-03 18:00:00,43,18,4
2025-01-03 19:00:00,0,19,4
2025-01-03 20:00:00,0,20,4
2025-01-03 21:00:00,0,21,4
2025-01-03 22:00:00,0,22,4
2025-01-03 23:00:00,0,23,4
2025-01-04 00:00:00,0,0,5
2025-01-04 01:00:00,0,1,5
2025-01-04 02:00:00,0,2,5
2025-01-04 03:00:00,0,3,5
2025-01-04 04:00:00,0,4,5
2025-01-04 05:00:00,0,5,5
2025-01-04 06:00:00,0,6,5
2025-01-04 07:00:00,0,7,5
2025-01-04 08:00:00,0,8,5
2025-01-04 09:00:00,0,9,5
2025-01-04 10:00:00,0,10,5
2025-01-04 11:00:00,0,11,5
2025-01-04 12:00:00,0,12,5
2025-01-04 13:00:00,0,13,5
2025-01-04 14:00:00,0,14,5
2025-01-04 15:00:00,0,15,5
2025-01-04 16:00:00,0,16,5
2025-01-04 17:00:00,0,17,5
2025-01-04 18:00:00,0,18,5
2025-01-04 19:00:00,0,19,5
2025-01-04 20:00:00,0,20,5
2025-01-04 21:00:00,0,21,5
2025-01-04 22:00:00,0,22,5
2025-01-04 23:00:00,0,23,5
2025-01-05 00:00:00,0,0,6
2025-01-05 01:00:00,0,1,6
2025-01-05 02:00:00,0,2,6
2025-01-05 03:00:00,0,3,6
2025-01-05 04:00:00,0,4,6
2025-01-05 05:00:00,0,5,6
2025-01-05 06:00:00,0,6,6
2025-01-05 07:00:00,0,7,6
2025-01-05 08:00:00,0,8,6
2025-01-05 09:00:00,0,9,6
2025-01-05 10:00:00,0,10,6
2025-01-05 11:00:00,0,11,6
2025-01-05 12:00:00,0,12,6
2025-01-05 13:00:00,0,13,6
2025-01-05 14:00:00,0,14,6
2025-01-05 15:00:00,0,15,6
2025-01-05 16:00:00,0,16,6
2025-01-05 17:00:00,0,17,6
2025-01-05 18:00:00,0,18,6
2025-01-05 19:00:00,0,19,6
2025-01-05 20:00:00,0,20,6
2025-01-05 21:00:00,0,21,6
2025-01-05 22:00:00,0,22,6
2025-01-05 23:00:00,0,23,6
2025-01-06 00:00:00,0,0,0
2025-01-06 01:00:00,0,1,0
2025-01-06 02:00:00,0,2,0
2025-01-06 03:00:00,0,3,0
2025-01-06 04:00:00,0,4,0
2025-01-06 05:00:00,0,5,0
2025-01-06 06:00:00,10,6,0
2025-01-06 07:00:00,33,7,0
2025-01-06 08:00:00,68,8,0
2025-01-06 09:00:00,86,9,0
2025-01-06 10:00:00,148,10,0
2025-01-06 11:00:00,107,11,0
2025-01-06 12:00:00,85,12,0
2025-01-06 13:00:00,80,13,0
2025-01-06 14:00:00,95,14,0
2025-01-06 15:00:00,169,15,0
2025-01-06 16:00:00,239,16,0
2025-01-06 17:00:00,281,17,0
2025-01-06 18:00:00,44,18,0
2025-01-06 19:00:00,0,19,0
2025-01-06 20:00:00,0,20,0
2025-01-06 21:00:00,0,21,0
2025-01-06 22:00:00,0,22,0
2025-01-06 23:00:00,0,23,0
2025-01-07 00:00:00,0,0,1
2025-01-07 01:00:00,0,1,1
2025-01-07 02:00:00,0,2,1
2025-01-07 03:00:00,0,3,1
2025-01-07 04:00:00,0,4,1
2025-01-07 05:00:00,0,5,1
2025-01-07 06:00:00,17,6,1
2025-01-07 07:00:00,27,7,1
2025-01-07 08:00:00,67,8,1
2025-01-07 09:00:00,80,9,1
2025-01-07 10:00:00,110,10,1
2025-01-07 11:00:00,73,11,1
2025-01-07 12:00:00,63,12,1
2025-01-07 13:00:00,55,13,1
2025-01-07 14:00:00,74,14,1
2025-01-07 15:00:00,128,15,1
