timestamp,rank,txn_id,direction,counterparty,channel,amount,pct_of_minute,pct_of_excess
2026-01-22 06:31:00,1,TXN00016177,CR,COBAGB2X,CHAPS,1685089.58,61.558908125915984,67.17915053438584
2026-01-22 06:31:00,2,TXN00016175,DR,CITIGB2L,BACS,841563.16,30.7435936127476,33.55044080792039
2026-01-22 06:31:00,3,TXN00016179,CR,BARCGB22,FPS,146107.52,5.33753190746419,5.824841122265908
2026-01-22 06:31:00,4,TXN00016176,DR,BARCGB22,BACS,41323.84,1.5096232865970554,1.6474497860338526
2026-01-22 06:31:00,5,TXN00016178,DR,BNPAGB22,CHAPS,23276.96,0.8503430672751661,0.9279782026916799
2026-01-22 06:32:00,1,TXN00016180,DR,RBOSGB2L,SWIFT,45633.53,100.0,
2026-01-22 06:33:00,1,TXN00016181,CR,BARCGB22,CHAPS,449017.09,40.49032859482563,51.02815136200965
2026-01-22 06:33:00,2,TXN00016182,DR,HSBCGB2L,BACS,353280.38,31.85722546174103,40.14823735076161
2026-01-22 06:33:00,3,TXN00016183,DR,LOYDGB2L,CHAPS,292774.19,26.40105114302868,33.27206472744673
2026-01-22 06:33:00,4,TXN00016184,DR,NWBKGB2L,CHAPS,13877.33,1.2513948004046607,1.5770769342889766
2026-01-22 06:34:00,1,TXN00016186,CR,NTSBGB2L,FPS,311709.63,53.82224651467689,91.36856918661618
2026-01-22 06:34:00,2,TXN00016185,CR,MIDLGB22,BACS,222746.68,38.46120096220912,65.29168008915559
2026-01-22 06:34:00,3,TXN00016187,DR,SANTGB2L,SWIFT,44690.14,7.716552523113972,13.099608595825426
2026-01-22 06:35:00,1,TXN00016189,CR,BOFAGB22,CHAPS,116261.18,55.71612343358699,
2026-01-22 06:35:00,2,TXN00016188,DR,NTSBGB2L,CHAPS,92405.85,44.28387656641301,
2026-01-22 06:36:00,1,TXN00016190,CR,NTSBGB2L,SWIFT,137793.21,55.883423381186724,1605.5230149898737
2026-01-22 06:36:00,2,TXN00016191,DR,NWBKGB2L,CHAPS,108779.39,44.11657661881328,1267.4631369830147
2026-01-22 06:37:00,1,TXN00016193,DR,DEUTGB2L,CHAPS,109291.39,71.16709292146155,
2026-01-22 06:37:00,2,TXN00016192,DR,HSBCGB2L,INTERNAL,44278.73,28.832907078538454,
2026-01-22 06:39:00,1,TXN00016194,CR,BNPAGB22,SWIFT,724280.64,49.68720577397366,58.94828240279316
2026-01-22 06:39:00,2,TXN00016197,DR,CHASGB2L,CHAPS,255333.53,17.516427949951936,20.78127206788526
2026-01-22 06:39:00,3,TXN00016199,CR,RBOSGB2L,CHAPS,160977.83,11.043424499456108,13.10178135291429
2026-01-22 06:39:00,4,TXN00016198,CR,COBAGB2X,SWIFT,124507.47,8.541479560031942,10.133505022055122
2026-01-22 06:39:00,5,TXN00016196,DR,HSBCGB2L,CHAPS,103668.18,7.111859557468415,8.437421647530982
2026-01-22 06:40:00,1,TXN00016202,CR,SANTGB2L,CHAPS,528465.63,74.13240403455201,111.28471556114201
2026-01-22 06:40:00,2,TXN00016201,CR,BARCGB22,CHAPS,164380.23,23.059023962736404,34.615320469232984
2026-01-22 06:40:00,3,TXN00016200,CR,TSBSGB2A,CHAPS,20021.39,2.8085720027115846,4.216120339346748
2026-01-22 06:41:00,1,TXN00016205,CR,COBAGB2X,FPS,576287.23,69.50598997393378,98.09528294129787
2026-01-22 06:41:00,2,TXN00016203,CR,CITIGB2L,CHAPS,182529.87,22.01492355498392,31.07013015521499
2026-01-22 06:41:00,3,TXN00016204,DR,DEUTGB2L,BACS,70301.7,8.479086471082312,11.966715196438138
2026-01-22 06:42:00,1,TXN00016208,CR,CITIGB2L,FPS,4054719.41,93.23525977707699,98.8097383791792
2026-01-22 06:42:00,2,TXN00016206,DR,DEUTGB2L,CHAPS,164004.42,3.7711597664630614,3.996635079917657
