TransactionDate,AccountBalance
02-01-2023 16:00,1382.8
02-01-2023 16:01,8045.77
02-01-2023 16:06,6366.43
02-01-2023 16:07,4351.83
02-01-2023 16:22,5587.44
02-01-2023 16:27,6474.41
02-01-2023 16:30,1443.02
02-01-2023 16:31,4860.01
02-01-2023 16:36,7954.92
02-01-2023 16:45,3869.37
02-01-2023 16:47,5473.82
02-01-2023 16:51,4475.22
02-01-2023 17:05,1447.35
02-01-2023 17:26,9269.67
02-01-2023 17:34,9877.17
03-01-2023 16:27,10679.67
03-01-2023 16:42,13732.81
03-01-2023 16:46,7328.52
03-01-2023 17:33,2525.47
03-01-2023 17:51,533.2
03-01-2023 18:18,5212.28
04-01-2023 16:02,7873.28
04-01-2023 16:09,5987.67
04-01-2023 17:00,9551.64
05-01-2023 16:02,3956.69
05-01-2023 16:13,7174.69
05-01-2023 16:22,9598.43
05-01-2023 16:40,5335.44
05-01-2023 16:43,2011.6
05-01-2023 16:56,2284.41
05-01-2023 17:48,1926.08
05-01-2023 18:29,6020.29
06-01-2023 16:13,6704.76
06-01-2023 17:01,7945.57
06-01-2023 17:16,13475.14
06-01-2023 17:23,7627.04
06-01-2023 17:30,168.84
06-01-2023 17:35,761
06-01-2023 17:52,13784.4
09-01-2023 16:05,690.16
09-01-2023 16:08,8434.99
09-01-2023 16:08,1127.08
09-01-2023 16:09,2812.06
09-01-2023 16:12,11937.04
09-01-2023 16:12,5307.74
09-01-2023 16:13,14214.48
09-01-2023 16:19,526.67
09-01-2023 16:36,12540.18
09-01-2023 16:45,5631.2
09-01-2023 16:54,480.19
09-01-2023 17:09,998.49
09-01-2023 17:12,7372.81
09-01-2023 17:15,2421.94
09-01-2023 17:17,6408.8
09-01-2023 17:22,3363.23
09-01-2023 17:26,13486.15
09-01-2023 17:27,5926.31
09-01-2023 17:56,2240.49
10-01-2023 16:00,1154.48
10-01-2023 16:28,10631.43
10-01-2023 16:32,1223.45
10-01-2023 16:41,664.93
10-01-2023 17:40,11108.39
11-01-2023 16:09,12072.11
11-01-2023 16:56,2797.26
11-01-2023 16:58,6501.56
11-01-2023 17:04,13521.76
11-01-2023 17:27,7544.4
11-01-2023 18:07,1983.65
12-01-2023 16:21,1106.34
12-01-2023 16:44,1123.75
12-01-2023 17:10,225.53
12-01-2023 17:12,7620.6
12-01-2023 17:57,10862.99
12-01-2023 18:07,824.71
13-01-2023 16:23,2137.9
13-01-2023 16:44,230.09
13-01-2023 17:00,6374.82
13-01-2023 17:19,5976
16-01-2023 16:01,706.44
16-01-2023 16:15,6062.94
16-01-2023 16:16,4575.98
16-01-2023 16:31,3564.8
16-01-2023 16:37,1310.38
16-01-2023 16:38,2420.86
16-01-2023 16:50,7255.49
16-01-2023 16:53,1000.46
16-01-2023 16:55,4480.43
16-01-2023 17:00,3740.73
