split,timestamp,forecast,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
future,2023-12-29 18:30:00,14110.986,13861.061,11791.675,12685.954,13221.696,13742.832,14110.986,14317.829,14559.155,14807.973,15350.552
future,2023-12-29 18:35:00,14024.312,13580.636,11010.137,12214.25,12811.875,13594.304,14024.312,14342.524,14698.578,14991.207,15648.637
future,2023-12-29 18:40:00,13810.698,13613.712,10179.368,11585.805,12443.616,13283.487,13810.698,14167.315,14546.597,15018.132,15694.306
future,2023-12-29 18:45:00,13727.776,13249.365,9581.724,11235.888,12232.477,13091.052,13727.776,14236.918,14615.795,15116.053,16006.67
future,2023-12-29 18:50:00,13847.565,13317.178,9259.224,11084.737,12120.051,13177.938,13847.565,14361.156,14870.835,15450.063,16392.684
future,2023-12-29 18:55:00,14128.921,13294.813,9177.811,11112.184,12297.205,13344.387,14128.921,14715.338,15209.968,15900.081,16983.648
future,2023-12-29 19:00:00,14103.813,13387.494,8721.104,10918.82,12053.221,13275.226,14103.813,14769.997,15393.076,16021.895,17124.502
future,2023-12-29 19:05:00,13999.812,13176.441,8193.31,10549.31,11901.937,13059.915,13999.812,14626.399,15249.704,16061.867,17214.393
future,2023-12-29 19:10:00,13963.072,12941.248,8049.746,10396.342,11809.417,12948.768,13963.072,14714.784,15388.829,16025.415,17268.3
future,2023-12-29 19:15:00,13906.042,12763.066,7745.063,10225.68,11551.443,12869.689,13906.042,14662.044,15404.67,16137.929,17335.707
future,2023-12-29 19:20:00,13755.888,12744.267,7391.5015,9889.639,11338.902,12636.806,13755.888,14583.157,15321.884,16039.973,17227.203
future,2023-12-29 19:25:00,13752.284,12533.902,7160.5884,9886.905,11166.729,12620.361,13752.284,14629.217,15448.325,16019.893,17283.867
