split,timestamp,forecast,actual,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
70_15_15_validation,2023-09-12 10:30:00,5123.8203,5111.09,-12.730469,5125.719,5076.292,5076.292,5105.5117,5119.635,5123.8203,5123.8203,5124.0156,5126.6396,5165.516
70_15_15_validation,2023-09-12 10:35:00,5135.747,5100.5635,-35.183594,5120.0776,5022.919,5067.699,5067.699,5105.7095,5135.747,5138.145,5138.145,5138.145,5205.911
70_15_15_validation,2023-09-12 10:40:00,5113.4385,5090.0376,-23.400879,5149.691,4986.797,5050.3433,5050.3433,5105.421,5113.4385,5113.4385,5113.4385,5113.4385,5207.18
70_15_15_validation,2023-09-12 10:45:00,5082.1675,5079.5117,-2.6557617,5113.731,4947.817,5010.91,5010.91,5010.91,5082.1675,5132.3354,5132.3354,5132.3354,5211.1787
70_15_15_validation,2023-09-12 10:50:00,5097.126,5068.9854,-28.140625,5122.3574,4963.7407,5027.6753,5049.8657,5049.8657,5097.126,5138.516,5138.516,5149.9478,5202.02
70_15_15_validation,2023-09-12 10:55:00,5076.443,5058.4595,-17.983398,5090.5615,4975.16,5018.8115,5018.8115,5043.8594,5076.443,5080.9595,5091.732,5140.376,5211.517
70_15_15_validation,2023-09-12 11:00:00,5058.8506,5047.9336,-10.916992,5076.683,4907.2856,4984.804,4984.804,5035.902,5058.8506,5063.809,5091.835,5092.6304,5230.2363
70_15_15_validation,2023-09-12 11:05:00,5054.4424,5037.407,-17.035156,5076.759,4836.9536,4986.2793,4986.2793,5009.446,5054.4424,5106.4644,5106.4644,5106.4644,5214.12
70_15_15_validation,2023-09-12 11:10:00,5038.2803,5026.8813,-11.398926,5020.939,4861.8945,4960.22,4960.22,4983.2256,5038.2803,5069.1943,5084.9854,5084.9854,5193.51
70_15_15_validation,2023-09-12 11:15:00,5060.7812,5016.355,-44.42627,5045.4224,4895.2866,4991.905,5016.5625,5029.699,5060.7812,5089.5757,5101.8135,5160.224,5265.8193
70_15_15_validation,2023-09-12 11:20:00,5046.4937,5005.829,-40.66455,4948.7354,4908.5835,4966.884,4994.8115,4994.8115,5046.4937,5113.8594,5113.8594,5141.4365,5204.904
