split,origin_timestamp,timestamp,actual,forecast,error,q00,q10,q20,q30,q40,q50,q60,q70,q80,q90
walk_forward,2023-09-12 10:25:00,2023-09-12 10:30:00,5111.09,5123.8203,-12.730469,5125.719,5076.292,5076.292,5105.5117,5119.635,5123.8203,5123.8203,5124.0156,5126.6396,5165.516
walk_forward,2023-09-12 10:25:00,2023-09-12 10:35:00,5100.5635,5135.747,-35.183594,5120.0776,5022.919,5067.699,5067.699,5105.7095,5135.747,5138.145,5138.145,5138.145,5205.911
walk_forward,2023-09-12 10:25:00,2023-09-12 10:40:00,5090.0376,5113.4385,-23.400879,5149.691,4986.797,5050.3433,5050.3433,5105.421,5113.4385,5113.4385,5113.4385,5113.4385,5207.18
walk_forward,2023-09-12 10:25:00,2023-09-12 10:45:00,5079.5117,5082.1675,-2.6557617,5113.731,4947.817,5010.91,5010.91,5010.91,5082.1675,5132.3354,5132.3354,5132.3354,5211.1787
walk_forward,2023-09-12 10:25:00,2023-09-12 10:50:00,5068.9854,5097.126,-28.140625,5122.3574,4963.7407,5027.6753,5049.8657,5049.8657,5097.126,5138.516,5138.516,5149.9478,5202.02
walk_forward,2023-09-12 10:25:00,2023-09-12 10:55:00,5058.4595,5076.443,-17.983398,5090.5615,4975.16,5018.8115,5018.8115,5043.8594,5076.443,5080.9595,5091.732,5140.376,5211.517
walk_forward,2023-09-12 10:25:00,2023-09-12 11:00:00,5047.9336,5058.8506,-10.916992,5076.683,4907.2856,4984.804,4984.804,5035.902,5058.8506,5063.809,5091.835,5092.6304,5230.2363
walk_forward,2023-09-12 10:25:00,2023-09-12 11:05:00,5037.407,5054.4424,-17.035156,5076.759,4836.9536,4986.2793,4986.2793,5009.446,5054.4424,5106.4644,5106.4644,5106.4644,5214.12
walk_forward,2023-09-12 10:25:00,2023-09-12 11:10:00,5026.8813,5038.2803,-11.398926,5020.939,4861.8945,4960.22,4960.22,4983.2256,5038.2803,5069.1943,5084.9854,5084.9854,5193.51
walk_forward,2023-09-12 10:25:00,2023-09-12 11:15:00,5016.355,5060.7812,-44.42627,5045.4224,4895.2866,4991.905,5016.5625,5029.699,5060.7812,5089.5757,5101.8135,5160.224,5265.8193
walk_forward,2023-09-12 10:25:00,2023-09-12 11:20:00,5005.829,5046.4937,-40.66455,4948.7354,4908.5835,4966.884,4994.8115,4994.8115,5046.4937,5113.8594,5113.8594,5141.4365,5204.904
walk_forward,2023-09-12 10:25:00,2023-09-12 11:25:00,4995.303,5004.1904,-8.887207,5112.3296,4795.426,4982.6113,4982.996,4982.996,5004.1904,5056.9805,5056.9805,5056.9805,5209.565
walk_forward,2023-09-12 11:25:00,2023-09-12 11:30:00,4984.777,4994.8906,-10.11377,4971.2495,4932.235,4932.235,4959.7456,4987.8374,4994.8906,4994.8906,4994.8906,4995.0493,5045.4062
walk_forward,2023-09-12 11:25:00,2023-09-12 11:35:00,4974.251,5015.035,-40.78418,4998.0557,4892.1416,4917.2563,4917.2563,4969.5747,5015.035,5015.035,5015.035,5015.035,5087.4937
walk_forward,2023-09-12 11:25:00,2023-09-12 11:40:00,4963.725,4988.8276,-25.10254,5047.893,4856.345,4917.593,4917.593,4979.9873,4988.8276,4988.8276,4988.8276,4988.8276,5103.3184
walk_forward,2023-09-12 11:25:00,2023-09-12 11:45:00,4953.1987,4977.1274,-23.92871,5001.627,4848.2017,4904.6,4904.6,4904.6,4977.1274,5031.3857,5031.3857,5031.3857,5135.1543
walk_forward,2023-09-12 11:25:00,2023-09-12 11:50:00,4942.673,4969.6797,-27.006836,5019.1396,4832.836,4905.9375,4927.471,4927.471,4969.6797,5004.995,5004.995,5031.3003,5082.7886
walk_forward,2023-09-12 11:25:00,2023-09-12 11:55:00,4932.147,4950.4976,-18.350586,4965.2617,4843.1255,4888.314,4889.343,4916.048,4950.4976,4950.4976,4964.7188,5009.5923,5109.7134
walk_forward,2023-09-12 11:25:00,2023-09-12 12:00:00,4921.6206,4926.1685,-4.5478516,4966.651,4771.2954,4836.61,4836.61,4906.6035,4926.1685,4942.2466,4954.711,4959.134,5122.206
walk_forward,2023-09-12 11:25:00,2023-09-12 12:05:00,4911.0947,4933.022,-21.927246,4943.7886,4714.275,4866.951,4866.951,4885.8193,4933.022,4981.8354,4981.8354,4981.8354,5120.053
walk_forward,2023-09-12 11:25:00,2023-09-12 12:10:00,4900.569,4926.247,-25.678223,4887.2573,4743.078,4836.825,4836.825,4871.909,4926.247,4966.149,4971.507,4971.507,5107.069
walk_forward,2023-09-12 11:25:00,2023-09-12 12:15:00,4890.0425,4938.6367,-48.59424,4925.471,4775.3765,4867.7466,4885.56,4906.366,4938.6367,4968.444,4979.9634,5040.541,5166.5527
walk_forward,2023-09-12 11:25:00,2023-09-12 12:20:00,4879.5166,4921.6465,-42.129883,4831.1377,4765.932,4831.109,4863.2515,4863.2515,4921.6465,4978.7407,4978.7407,5021.3994,5092.188
walk_forward,2023-09-12 11:25:00,2023-09-12 12:25:00,4868.9907,4893.0996,-24.108887,4991.915,4683.0596,4855.6973,4857.0264,4857.0264,4893.0996,4943.9585,4943.9585,4943.9585,5129.9805
walk_forward,2023-09-12 12:25:00,2023-09-12 12:30:00,4858.4644,4872.908,-14.443848,4875.396,4803.144,4803.144,4843.3857,4867.209,4872.908,4872.908,4872.908,4874.0786,4923.049
walk_forward,2023-09-12 12:25:00,2023-09-12 12:35:00,4847.9385,4880.798,-32.859375,4903.956,4738.0703,4794.486,4794.486,4841.1377,4880.798,4880.798,4882.932,4882.932,4950.286
